"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"621731.0","AID00005","21","proposed","Gas Tax Fund","C200118","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"2000000.0","AID00005","21","proposed","Trench Cut/Excavation Fee Fund","C200203","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"10000000.0","AID00001","21","proposed","Utilities Undergrounding Program Fund","C200218","Transportation & Storm Water","Utilities Undergrounding Program","Undistributed Budget","512117"
"250000.0","ABT00001","21","proposed","Other Funding","C200373","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"7900000.0","AGF00004","21","proposed","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"625000.0","ABT00001","21","proposed","San Diego Regional Parks Improvement Fund","C200391","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"450000.0","AGE00001","21","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"1075000.0","AGF00005","21","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"850000.0","AGF00006","21","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"200000.0","S15035","21","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","EB Scripps Pk Comfort Station Replacement","Undistributed Budget","512117"
"1500000.0","P21001","21","proposed","Parking Meter Districts","C200489","Transportation & Storm Water","5th Avenue Promenade","Undistributed Budget","512117"
"18307570.0","AID00005","21","proposed","Gas Tax Fund","C200731","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"1000000.0","ACA00001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Drainage Projects","Undistributed Budget","512117"
"7498904.0","AID00005","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"200000.0","AIE00001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Bridge Rehabilitation","Undistributed Budget","512117"
"500000.0","AIG00001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Median Installation","Undistributed Budget","512117"
"200000.0","AIH00001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Installation of City Owned Street Lights","Undistributed Budget","512117"
"2500000.0","AIK00001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","New Walkways","Undistributed Budget","512117"
"500000.0","AIL00001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Traffic Calming","Undistributed Budget","512117"
"1000000.0","AIL00004","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
"1500000.0","AIL00005","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"4500000.0","S00951","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Coastal Rail Trail","Undistributed Budget","512117"
"2000000.0","S16061","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","Market Street-47th to Euclid-Complete Street","Undistributed Budget","512117"
"625000.0","S18001","21","proposed","TransNet Funds","C400169","Transportation & Storm Water","University Avenue Complete Street Phase 1","Undistributed Budget","512117"
"2800000.0","ABP00001","21","proposed","Sewer Funds","C700008","Public Utilities","Pump Station Restorations","Undistributed Budget","512117"
"55904294.0","AJA00001","21","proposed","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"9944307.0","AJA00002","21","proposed","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"6000000.0","AJB00001","21","proposed","Sewer Funds","C700008","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"802750.0","ATT00002","21","proposed","Sewer Funds","C700008","Citywide","Enterprise Funded IT Projects","Undistributed Budget","512117"
"24660000.0","S15019","21","proposed","Sewer Funds","C700008","Public Utilities","Alvarado Trunk Sewer Phase IV","Undistributed Budget","512117"
"2000000.0","S15020","21","proposed","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"4000000.0","S18006","21","proposed","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
