"dept_group","dept_name","dept_division","dept_section","funds_center","funds_center_number"
"Description pending","Description pending","Description pending","Description pending","DELETE","0"
"Description pending","Description pending","Description pending","Description pending","DELETE","1311001101"
"Description pending","Description pending","Description pending","Description pending","DELETE","1311001111"
"Description pending","Description pending","Description pending","Description pending","DELETE","1400000011"
"Description pending","Description pending","Description pending","Description pending","DELETE","1513"
"Description pending","Description pending","Description pending","Description pending","DELETE","1513111301"
"Description pending","Description pending","Description pending","Description pending","DELETE","1513111311"
"Description pending","Description pending","Description pending","Description pending","DELETE","2000130011"
"Description pending","Description pending","Description pending","Description pending","DELETE","9913"
"Description pending","Description pending","Description pending","Description pending","Description pending","BLANK"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","Accounts Payable","1511000015"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","CAFR & Financial Reporting","1511000012"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","Department Management","1511000001"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","GF, CIP, FA, Debt & Grants","1511000016"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","Gov't Accounting Grants & CIP","1511000011"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","Payroll","1511000017"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","Payroll & Disbursements","1511000013"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","Proprietary","1511000018"
"City Comptroller","City Comptroller","City Comptroller","City Comptroller","RDA Enterprise & Debt","1511000014"
"City Comptroller","City Comptroller","Gov't Accounting Fin Reporting & CAFR","Gov't Accounting Fin Reporting & CAFR","AUC & WBS Clearing","1511120014"
"City Comptroller","City Comptroller","Gov't Accounting Fin Reporting & CAFR","Gov't Accounting Fin Reporting & CAFR","CAFR Reporting","1511120013"
"City Comptroller","City Comptroller","Gov't Accounting Fin Reporting & CAFR","Gov't Accounting Fin Reporting & CAFR","Debt","1511120011"
"City Comptroller","City Comptroller","Gov't Accounting Fin Reporting & CAFR","Gov't Accounting Fin Reporting & CAFR","Division Management","1511120001"
