"asset_owning_dept","project_number","asset_type","asset_subtype","project_name"
"Airports","AAA00002","Airport","Airport","Brown Field"
"Airports","S00773","Airport","Airport","Brown Field Electrical Upgrade"
"Airports","S00679","Airport","Airport","Montgomery Field NW Heliport"
"Airports","S00680","Airport","Airport","Montgomery Field Rehabilitation"
"Airports","AAA00001","Airport","Airport","Montgomery-Gibbs Executive Airport"
"Airports","S00650","Parks","Neighborhood Parks","Torrey Highlands Neighborhood Park North"
"Citywide","S17009","Buildings","Operations Facility / Structures","101 Ash Improvements"
"Citywide","T19000","Intangible Assets","Information Technology","311 Enhancements"
"Citywide","T19003","Intangible Assets","Information Technology","Accela Implementation Phase 2"
"Citywide","ABE00001","Buildings","Other City Facility / Structures","Americans with Disabilities Improvements"
"Citywide","T19002","Intangible Assets","Information Technology","Centralized Payment Processing Solution"
"Citywide","ABT00006","Buildings","Other City Facility / Structures","CIP Emergency Reserve"
"Citywide","S12022","Buildings","Other City Facility / Structures","Convention Center Phase III Expansion"
"Citywide","L15000","Buildings","Other City Facility / Structures","Convention Center Sails Pavilion"
"Citywide","S01080","Buildings","Other City Facility / Structures","Downtown Parking Projects"
"Citywide","ABT00004","Buildings","Other City Facility / Structures","Energy Commission Energy Efficiency Facility Imp"
"Citywide","ATT00002","Intangible Assets","Information Technology","Enterprise Funded IT Projects"
"Citywide","P19000","Intangible Assets","Information Technology","Fleet Management Software Upgrade"
"Citywide","L14002","Buildings","Other City Facility / Structures","Fleet Operations Facilities"
"Citywide","T18000","Intangible Assets","Information Technology","Get It Done Expansion (311 Customer Exp)"
"Citywide","ATT00001","Intangible Assets","Information Technology","Governmental Funded IT Projects"
"Citywide","S14000","Intangible Assets","Information Technology","I AM San Diego Project"
"Citywide","P20000","Buildings","Operations Facility / Structures","Kearny Mesa Repair Facility"
"Citywide","ABT00002","Buildings","Other City Facility / Structures","Roof Replacement"
"Citywide","ABT00007","Buildings","Other City Facility / Structures","Sewer CIP Emergency Reserve"
"Citywide","ABG00001","Buildings","Stadium Facilities","Stadium"
"Citywide","ABT00008","Buildings","Other City Facility / Structures","Water CIP Emergancy Reserve"
"Citywide","S99999","Buildings","Other City Facility / Structures","WIP Conversion Unallocated Balances"
"Department of Information Technology","S13013","Buildings","Other City Facility / Structures","Enterprise Asset Management SAP"
"Department of Information Technology","T19001","Intangible Assets","Information Technology","I AM Enhancements"
"Department of Information Technology","S09999","Buildings","Operations Facility / Structures","OneSD Capital"
"Department of Information Technology","S12021","Buildings","Other City Facility / Structures","Supplier Relationship Management - SAP"
"Description pending","BLANK","Description pending","Description pending","Description pending"
"Environmental Services","S16053","Landfills","Landfills","Aerated Static Pile System"
"Environmental Services","S00777","Buildings","Other City Facility / Structures","Arizona Landfill Gas Utility"
"Environmental Services","S00682","Landfills","Supporting Facilities / Structures","Arizona St Landfill Closure & Mods"
"Environmental Services","S00683","Landfills","Supporting Facilities / Structures","Arizona Street Landfill Gas Upgrade - 3"
"Environmental Services","S00778","Landfills","Landfills","Chollas Landfill Photovoltaic"
"Environmental Services","ABT00003","Buildings","Other City Facility / Structures","Citywide Energy Improvements"
"Environmental Services","S15000","Landfills","Supporting Facilities / Structures","CNG Fueling Station for Refuse & Recycling"
"Environmental Services","AFA00003","Landfills","Landfills","Environmental Services Operations Yard Improvement"
"Environmental Services","S01085","Landfills","Supporting Facilities / Structures","Environmental Services Operations Yard Improvement"
"Environmental Services","S01088","Landfills","Supporting Facilities / Structures","Future Waste Mgmt Disposal & Pro Fac"
"Environmental Services","S00817","Buildings","Other City Facility / Structures","Material Recovery Facility"
"Environmental Services","AFA00001","Landfills","Landfills","Minor Improvements to Landfills"
"Environmental Services","S00681","Landfills","Supporting Facilities / Structures","Miramar Fee Booth Modifications"
"Environmental Services","L17000","Landfills","Landfills","Miramar Landfill Facility Improvements"
"Environmental Services","S16052","Landfills","Landfills","Miramar Landfill Gas Recovery Improvemen"
"Environmental Services","S00975","Landfills","Landfills","Miramar Landfill Greenery Expansion"
"Environmental Services","S16054","Landfills","Landfills","Miramar Landfill Storm Water Improvement"
"Environmental Services","L18002","Landfills","Landfills","Miramar Landfill Storm Water Improvements"
"Environmental Services","S16056","Landfills","Landfills","Miramar PubTipping/Resource Recovery Ctr"
"Environmental Services","S00780","Landfills","Landfills","Mission Bay Landfill Site"
"Environmental Services","S10133","Buildings","Other City Facility / Structures","Ridgehaven Backup Generator Project"
"Environmental Services","S00776","Landfills","Supporting Facilities / Structures","South Chollas Landfill"
